essential,gene
False,RT_NAD4L
False,RT_14436
False,RT_13350
False,RT_14023
False,RT_15829
False,RT_10484
False,RT_8905
False,RT_9085
False,RT_10317
False,RT_13041
False,RT_12408
False,RT_15059
False,RT_9728
False,RT_11017
False,RT_NAD2
False,RT_15569
False,RT_13106
False,RT_14576
False,RT_14856
False,RT_11446
False,RT_16850
False,RT_8454
False,RT_16369
False,RT_11362
False,RT_11857
False,RT_11876
False,RT_8885
False,RT_15438
False,RT_9394
False,RT_12543
False,RT_14162
False,RT_15953
False,RT_13608
False,RT_14546
False,RT_10318
False,RT_9900
False,RT_15806
False,RT_13791
False,RT_9534
False,RT_12384
False,RT_15195
False,RT_11328
False,RT_15469
False,RT_16088
False,RT_14368
False,RT_14853
False,RT_10722
False,RT_15706
False,RT_8372
False,RT_12506
False,RT_12625
False,RT_16276
False,RT_14925
False,RT_10576
False,RT_9756
False,RT_11952
False,RT_10981
False,RT_16284
False,RT_12916
False,RT_8789
False,RT_15425
False,RT_11340
False,RT_13706
False,RT_12842
False,RT_13049
False,RT_13239
False,RT_15545
False,RT_8975
False,RT_15429
False,RT_11352
False,RT_13443
False,RT_16182
False,RT_12876
False,RT_13100
False,RT_9536
False,RT_8431
False,RT_10182
False,RT_16197
False,RT_11167
False,RT_13603
False,RT_11925
False,RT_15169
False,RT_10140
False,RT_16280
False,RT_14197
False,RT_10461
False,RT_12784
False,RT_11661
False,RT_15470
False,RT_15228
False,RT_15140
False,RT_13262
False,RT_12715
False,RT_14900
False,RT_16607
False,RT_15679
False,RT_9639
False,RT_8460
False,RT_16799
False,RT_9037
False,RT_16619
False,RT_12540
False,RT_13733
False,RT_10841
False,RT_12564
False,RT_9106
False,RT_11945
False,RT_11389
False,RT_12272
False,RT_10514
False,RT_13797
False,RT_12570
False,RT_16092
False,RT_11022
False,RT_16065
False,RT_10136
False,RT_16460
False,RT_16643
False,RT_16779
False,RT_16145
False,RT_10551
False,RT_15759
False,RT_12642
False,RT_10012
False,RT_10583
False,RT_10592
False,RT_9571
False,RT_15860
False,RT_16716
False,RT_16549
False,RT_13411
False,RT_9137
False,RT_9198
False,RT_10149
False,RT_16758
False,RT_10515
False,RT_13766
False,RT_13007
False,RT_ATP9
False,RT_12795
False,RT_9277
False,RT_9298
False,RT_11993
False,RT_10680
False,RT_10029
False,RT_11257
False,RT_16580
False,RT_15305
False,RT_10380
False,RT_13444
False,RT_9726
False,RT_9886
False,RT_13708
False,RT_11391
False,RT_8744
False,RT_14878
False,RT_8542
False,RT_10658
False,RT_8576
False,RT_9809
False,RT_8456
False,RT_15991
False,RT_12121
False,RT_16208
False,RT_11486
False,RT_13419
False,RT_13670
False,RT_12966
False,RT_11741
False,RT_11723
False,RT_9664
False,RT_15358
False,RT_16738
False,RT_9499
False,RT_16522
False,RT_11147
False,RT_12096
False,RT_12976
False,RT_15008
False,RT_10490
False,RT_13628
False,RT_16713
False,RT_15783
False,RT_13771
False,RT_11840
False,RT_12781
False,RT_9805
False,RT_13947
False,RT_14277
False,RT_12471
False,RT_12428
False,RT_13105
False,RT_11332
False,RT_10391
False,RT_14087
False,RT_11409
False,RT_9166
False,RT_14585
False,RT_14957
False,RT_8802
False,RT_14541
False,RT_16746
False,RT_9125
False,RT_15663
False,RT_11129
False,RT_12382
False,RT_11536
False,RT_12920
False,RT_14465
False,RT_15037
False,RT_15336
False,RT_9856
False,RT_9331
False,RT_15231
False,RT_8602
False,RT_14259
False,RT_12926
False,RT_12302
False,RT_15712
False,RT_9274
False,RT_15828
False,RT_9800
False,RT_8613
False,RT_9578
False,RT_8712
False,RT_15033
False,RT_11269
False,RT_9629
False,RT_11381
False,RT_16581
False,RT_9011
False,RT_14617
False,RT_13711
False,RT_16630
False,RT_13555
False,RT_11907
False,RT_15012
False,RT_16287
False,RT_14170
False,RT_16585
False,RT_13969
False,RT_8867
False,RT_8376
False,RT_9088
False,RT_9667
False,RT_16520
False,RT_9324
False,RT_11849
False,RT_12737
False,RT_8970
False,RT_14866
False,RT_13297
False,RT_14802
False,RT_8585
False,RT_10946
False,RT_14558
False,RT_14911
False,RT_15324
False,RT_12565
False,RT_9319
False,RT_16742
False,RT_8817
False,RT_16423
False,RT_10811
False,RT_12545
False,RT_14247
False,RT_10504
False,RT_9838
False,RT_9326
False,RT_15902
False,RT_8601
False,RT_16267
False,RT_9515
False,RT_10469
False,RT_16618
False,RT_14256
False,RT_13485
False,RT_16206
False,RT_12161
False,RT_13426
False,RT_14602
False,RT_11183
False,RT_11799
False,RT_10635
False,RT_16196
False,RT_16181
False,RT_14196
False,RT_8579
False,RT_10455
False,RT_9531
False,RT_13917
False,RT_10541
False,RT_15065
False,RT_11809
False,RT_15156
False,RT_9700
False,RT_11094
False,RT_13489
False,RT_11267
False,RT_10941
False,RT_12883
False,RT_15900
False,RT_14559
False,RT_16452
False,RT_10293
False,RT_9065
False,RT_15366
False,RT_11776
False,RT_14545
